"time_date","temperature","weather_con","comfort_feelslike","humidity","forecast","wind","humidity.1","location","visibility","pressure","dew_point"
2021-11-26 12:01:02, "28 °C", "Fog.", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Forecast: 27 / 26 °C", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "3 km", "1010 mbar", "26 °C"
2021-11-26 13:01:02, "28 °C", "Fog.", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Forecast: 27 / 26 °C", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 9 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "4 km", "1010 mbar", "26 °C"
2021-11-26 14:01:02, "28 °C", "Thunderstorms. Broken clouds.", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 15 km/h <U+2191> from Northeast", "89%", "Forecast: 27 / 26 °C", "Feels Like: 34 °CForecast: 27 / 26 °CWind: 15 km/h <U+2191> from Northeast", "89%", "Madras / Minambakkam", "2 km", "1009 mbar", "26 °C"
2021-11-26 15:01:03, "26 °C", "Thunderstorms. More clouds than sun.", "Feels Like: 28 °CForecast: 27 / 26 °CWind: 19 km/h <U+2191> from East", "94%", "Forecast: 27 / 26 °C", "Feels Like: 28 °CForecast: 27 / 26 °CWind: 19 km/h <U+2191> from East", "94%", "Madras / Minambakkam", "2 km", "1008 mbar", "25 °C"
2021-11-26 16:01:05, "26 °C", "Thunderstorms. More clouds than sun.", "Feels Like: 28 °CForecast: 27 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Forecast: 27 / 26 °C", "Feels Like: 28 °CForecast: 27 / 26 °CWind: 6 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1008 mbar", "26 °C"
2021-11-26 17:01:15, "26 °C", "Thunderstorms. More clouds than sun.", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 13 km/h <U+2191> from Northeast", "94%", "Forecast: 28 / 26 °C", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 13 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "2 km", "1008 mbar", "25 °C"
2021-11-26 18:01:02, "27 °C", "Drizzle. More clouds than sun.", "Feels Like: 31 °CForecast: 28 / 26 °CWind: 6 km/h <U+2191> from Northeast", "94%", "Forecast: 28 / 26 °C", "Feels Like: 31 °CForecast: 28 / 26 °CWind: 6 km/h <U+2191> from Northeast", "94%", "Madras / Minambakkam", "3 km", "1008 mbar", "26 °C"
2021-11-26 19:01:02, "26 °C", "Fog.", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 7 km/h <U+2191> from Northeast", "100%", "Forecast: 28 / 26 °C", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 7 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "3 km", "1009 mbar", "26 °C"
2021-11-26 20:01:02, "26 °C", "Light rain. Partly cloudy.", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 15 km/h <U+2191> from Northeast", "100%", "Forecast: 28 / 26 °C", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 15 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1010 mbar", "26 °C"
2021-11-26 21:01:02, "26 °C", "Partly cloudy.", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 11 km/h <U+2191> from Northeast", "100%", "Forecast: 28 / 26 °C", "Feels Like: 28 °CForecast: 28 / 26 °CWind: 11 km/h <U+2191> from Northeast", "100%", "Madras / Minambakkam", "2 km", "1011 mbar", "26 °C"
